Date : 2024-07-03 15:10:33
Directory : d:\Websites\adorable-capybara-ce7e7f.netlify.app
Total : 55 files,  116516 codes, 589 comments, 3167 blanks, all 120272 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\js\frontend.min.js                                | JavaScript |      1,911 |          1 |          2 |      1,914 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\js\lightbox.94b920846d1e37cafb78.bundle.min.js    | JavaScript |      1,225 |          1 |          1 |      1,227 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\js\text-editor.2c35aafbe5bf0e127950.bundle.min.js | JavaScript |         64 |          1 |          1 |         66 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\js\webpack.runtime.min.js                         | JavaScript |        239 |          1 |          1 |        241 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\lib\animations\animations.min.css                 | CSS        |      1,154 |          0 |          1 |      1,155 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\lib\dialog\dialog.min.js                          | JavaScript |        549 |          2 |          1 |        552 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\lib\eicons\css\elementor-icons.min.css            | CSS        |      1,409 |          1 |          1 |      1,411 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\lib\share-link\share-link.min.js                  | JavaScript |        121 |          0 |          1 |        122 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\lib\swiper\css\swiper.min.css                     | CSS        |        464 |          0 |          1 |        465 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\lib\waypoints\waypoints.min.js                    | JavaScript |        458 |          0 |          1 |        459 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\neuros-plugin\js\elementor-scripts.js                              | JavaScript |        237 |         47 |         21 |        305 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\neuros-plugin\js\elementor-widgets.js                              | JavaScript |        257 |          5 |         10 |        272 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\neuros-plugin\js\lib\isotope.pkgd.min.js                           | JavaScript |      1,807 |          9 |          2 |      1,818 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\neuros-plugin\js\lib\slick.min.js                                  | JavaScript |      1,894 |         16 |          2 |      1,912 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\woocommerce\assets\client\blocks\wc-blocks.css                     | CSS        |        536 |          0 |          1 |        537 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\woocommerce\assets\css\woocommerce-layout.css                      | CSS        |        647 |          0 |          1 |        648 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\woocommerce\assets\css\woocommerce-smallscreen.css                 | CSS        |        215 |          0 |          1 |        216 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\woocommerce\assets\css\woocommerce.css                             | CSS        |      3,174 |          0 |          1 |      3,175 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\woocommerce\assets\js\frontend\order-attribution.min.js            | JavaScript |        120 |          0 |          1 |        121 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\woocommerce\assets\js\frontend\woocommerce.min.js                  | JavaScript |         82 |          0 |          1 |         83 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\woocommerce\assets\js\jquery-blockui\jquery.blockUI.min.js         | JavaScript |        449 |         13 |          1 |        463 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\woocommerce\assets\js\jquery-cookie\jquery.cookie.min.js           | JavaScript |         73 |          7 |          1 |         81 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\woocommerce\assets\js\sourcebuster\sourcebuster.min.js             | JavaScript |        996 |          0 |          2 |        998 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\wpforms-lite\assets\css\frontend\modern\wpforms-full.min.css       | CSS        |      5,201 |          0 |          1 |      5,202 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\wpforms-lite\assets\images\submit-spin.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\wpforms-lite\assets\js\frontend\wpforms-modern.min.js              | JavaScript |        216 |          0 |          1 |        217 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\wpforms-lite\assets\js\frontend\wpforms.min.js                     | JavaScript |      2,007 |          0 |          1 |      2,008 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\wpforms-lite\assets\js\integrations\elementor\frontend.min.js      | JavaScript |         30 |          0 |          1 |         31 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\wpforms-lite\assets\js\share\utils.min.js                          | JavaScript |         65 |          0 |          1 |         66 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\wpforms-lite\assets\lib\jquery.validate.min.js                     | JavaScript |      1,232 |          3 |          1 |      1,236 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\themes\krishsatasiya\css\theme.css                                         | CSS        |     26,663 |        214 |      2,175 |     29,052 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\themes\krishsatasiya\css\woocommerce.css                                   | CSS        |     10,275 |         36 |         64 |     10,375 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\themes\krishsatasiya\js\owl.carousel.min.js                                | JavaScript |      2,045 |          5 |          5 |      2,055 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\themes\krishsatasiya\js\theme.js                                           | JavaScript |        685 |         22 |         58 |        765 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\themes\krishsatasiya\js\tilt.jquery.min.js                                 | JavaScript |        298 |          0 |          1 |        299 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\themes\krishsatasiya\js\woo.js                                             | JavaScript |        319 |         31 |         20 |        370 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\uploads\elementor\css\custom-frontend.min.css                              | CSS        |      7,798 |          0 |          1 |      7,799 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\uploads\elementor\css\post-6.css                                           | CSS        |         47 |          0 |          1 |         48 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\uploads\elementor\css\post-7674.css                                        | CSS        |      3,029 |          0 |          1 |      3,030 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\css\dist\block-library\style.min.css                                      | CSS        |      4,353 |         10 |          1 |      4,364 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\jquery\jquery-migrate.min.js                                           | JavaScript |        861 |          1 |          1 |        863 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\jquery\jquery.min.js                                                   | JavaScript |      5,405 |          1 |          2 |      5,408 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\jquery\ui\core.min.js                                                  | JavaScript |        982 |        103 |          1 |      1,086 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\mediaelement\mediaelement-and-player.min.js                            | JavaScript |      8,743 |         11 |          8 |      8,762 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\mediaelement\mediaelement-migrate.min.js                               | JavaScript |         55 |          0 |          1 |         56 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\mediaelement\mediaelementplayer-legacy.min.css                         | CSS        |        664 |          0 |          1 |        665 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\mediaelement\renderers\vimeo.min.js                                    | JavaScript |        419 |         11 |          1 |        431 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\mediaelement\wp-mediaelement.min.css                                   | CSS        |        238 |          0 |          1 |        239 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\mediaelement\wp-mediaelement.min.js                                    | JavaScript |         68 |          0 |          1 |         69 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\underscore.min.js                                                      | JavaScript |      1,294 |          1 |          1 |      1,296 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\wp-emoji-release.min.js                                                | JavaScript |        312 |          3 |          2 |        317 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\wp-util.min.js                                                         | JavaScript |         75 |          1 |          1 |         77 |
| Total                                                                                                                                  |            |    116,516 |        589 |      3,167 |    120,272 |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
